Tier,Features,Total_Window_Anomalies,Avg_In_Window,Avg_Outside_Window,SNR
1,"Patience (delta_t, rel_size)",42,21.00,4.63,4.54
2,"Safety (delta_t, rel_size, dist, vol_ahead)",12,6.00,4.79,1.25
3,"Full Model (All Features)",0,0.00,4.86,0.00
4,"Aggressive Baiting (delta_t, rel_size, imbalance)",13,6.50,4.79,1.36
