dt_et,ts_recv,cancel_type,delta_t,volume_ahead,induced_imbalance,relative_size,price_distance_ticks,spread_bps,mid_price,dt_utc,anomaly_score,anomaly
2023-06-06 09:45:00.692329075-04:00,1686059100692329075,0,0.8671214269633691,0.9142774545768831,0.0,2.9658133685483956,-0.030954758200211714,76.8688,0.63745,2023-06-06 13:45:00.692329075+00:00,0.17873440716433162,0
2023-06-06 09:45:00.692431896-04:00,1686059100692431896,0,1.3465587421261345,0.9158893669427115,0.0,-1.3060732289516213,-0.03148062136821468,76.8688,0.63745,2023-06-06 13:45:00.692431896+00:00,0.15666594231932698,0
2023-06-06 09:45:00.692497147-04:00,1686059100692497147,0,1.3465587421261345,0.9569211142023726,0.0,-0.8752603789707195,-0.03148062136821468,76.8688,0.63745,2023-06-06 13:45:00.692497147+00:00,0.1889815962722894,0
2023-06-06 09:45:00.692563397-04:00,1686059100692563397,0,1.3465587421261345,0.9129343000321869,0.0,-0.1202526536317176,-0.03148062136821468,76.8688,0.63745,2023-06-06 13:45:00.692563397+00:00,0.20171582675685554,0
2023-06-06 09:45:01.405323109-04:00,1686059101405323109,0,1.557959248312988,0.2004141441560221,0.0,-0.5619038607098119,-0.030215707261396735,76.8688,0.63745,2023-06-06 13:45:01.405323109+00:00,0.20089658000332442,0
2023-06-06 09:45:02.283071988-04:00,1686059102283071988,0,0.7863412026567782,-0.9218468030935837,0.177707,1.6328209956899125,-0.03563067664002186,76.8688,0.63745,2023-06-06 13:45:02.283071988+00:00,0.21509459136092246,0
2023-06-06 09:45:05.144602826-04:00,1686059105144602826,0,0.32442217125831974,0.9720624592114272,0.0,-0.5619038607098119,-0.028822880492091585,76.8688,0.63745,2023-06-06 13:45:05.144602826+00:00,0.27850090088217494,0
2023-06-06 09:45:05.285127171-04:00,1686059105285127171,0,0.3692795761509405,0.05886359027509181,0.0,-0.5619038607098119,-0.035190088580343705,68.998,0.6377,2023-06-06 13:45:05.285127171+00:00,0.25282159833670165,0
2023-06-06 09:45:05.285169829-04:00,1686059105285169829,0,-0.47043673346491255,0.9717690443146141,0.0,-0.5619038607098119,-0.028808667974037448,68.998,0.6377,2023-06-06 13:45:05.285169829+00:00,0.23799880084196723,0
2023-06-06 09:45:07.606808143-04:00,1686059107606808143,0,0.11167713680756838,0.9718962318243584,0.0,-0.5619038607098119,-0.028794455455983317,68.998,0.6377,2023-06-06 13:45:07.606808143+00:00,0.27390796675056195,0
2023-06-06 09:45:07.901675807-04:00,1686059107901675807,0,1.1942138234403228,0.9087893841617519,0.0,-0.5619038607098119,-0.032788173029195025,68.998,0.6377,2023-06-06 13:45:07.901675807+00:00,0.24039073381163092,0
2023-06-06 09:45:09.861781996-04:00,1686059109861781996,0,0.10562895414343311,0.9718962318243584,0.0,-0.5619038607098119,-0.02886551804625399,68.998,0.6377,2023-06-06 13:45:09.861781996+00:00,0.2742745118490557,0
2023-06-06 09:45:10.427716637-04:00,1686059110427716637,0,-0.18132707220090946,0.9717331595523319,0.0,-0.5619038607098119,-0.02893658063652466,68.998,0.6377,2023-06-06 13:45:10.427716637+00:00,0.25576791024115075,0
2023-06-06 09:45:12.435909583-04:00,1686059112435909583,0,0.5014645683184964,0.834780493218233,0.0,-0.5619038607098119,-0.02910713085317427,68.998,0.6377,2023-06-06 13:45:12.435909583+00:00,0.28150862070667165,0
2023-06-06 09:45:14.407073432-04:00,1686059114407073432,0,0.07770694755938233,0.8319887956842198,0.0,-0.5619038607098119,-0.029121343371228403,68.998,0.6377,2023-06-06 13:45:14.407073432+00:00,0.2744957890328328,0
2023-06-06 09:45:16.288575547-04:00,1686059116288575547,0,0.5497448498526303,-2.1101541468962193,0.0251408,1.9993220002902456,-0.03590071448305041,67.4351,0.63765,2023-06-06 13:45:16.288575547+00:00,0.19719138590233928,0
2023-06-06 09:45:16.288607017-04:00,1686059116288607017,0,-1.3752209692804076,-0.09550544445837356,0.0105734,1.2949860113043539,-0.03590071448305041,65.872,0.6376,2023-06-06 13:45:16.288607017+00:00,0.23109661074798352,0
2023-06-06 09:45:16.288633773-04:00,1686059116288633773,0,-1.3705620405759669,-0.10601205607589032,0.00110838,-0.5619038607098119,-0.03590071448305041,65.872,0.6376,2023-06-06 13:45:16.288633773+00:00,0.24625208373174834,0
2023-06-06 09:45:17.634410829-04:00,1686059117634410829,0,0.599445317788712,-0.12840611184344888,0.541491,4.030004866006379,-0.03558803908585946,65.872,0.6376,2023-06-06 13:45:17.634410829+00:00,0.16645750845612114,0
2023-06-06 09:45:17.634466957-04:00,1686059117634466957,0,-0.0015018577073044755,-0.04857820764435728,0.00100886,-0.5619038607098119,-0.03590071448305041,65.872,0.6376,2023-06-06 13:45:17.634466957+00:00,0.2653297841607448,0
2023-06-06 09:45:17.636282693-04:00,1686059117636282693,0,0.3468603387788357,0.9717331595523319,0.0,-0.5619038607098119,-0.02886551804625399,65.872,0.6376,2023-06-06 13:45:17.636282693+00:00,0.27907573111484235,0
2023-06-06 09:45:17.639183370-04:00,1686059117639183370,0,-1.275969450442432,0.9744914392464761,0.0,-0.5619038607098119,-0.028794455455983317,73.7428,0.63735,2023-06-06 13:45:17.639183370+00:00,0.2501871915352611,0
2023-06-06 09:45:17.645263235-04:00,1686059117645263235,0,-1.1223593943803962,0.9743655275589554,0.0,-0.5619038607098119,-0.028808667974037448,73.7428,0.63735,2023-06-06 13:45:17.645263235+00:00,0.24053430619235763,0
2023-06-06 09:45:17.647951260-04:00,1686059117647951260,0,0.4588313951436741,0.5527178445005885,0.0,-0.5619038607098119,-0.033697774184659614,73.7428,0.63735,2023-06-06 13:45:17.647951260+00:00,0.23035680439553072,0
