ts_recv,cancel_type,delta_t,volume_ahead,induced_imbalance,relative_size,price_distance_ticks,spread_bps,mid_price
1686038431906839813,0,1.52677e+10,1649,0,2,7.8,31.1134,0.67495
1686038457564296544,1,4.46366e+10,0,0.0542141,0.5,0,44.4774,0.6745
1686038470203123170,1,5.73735e+10,0,0.359067,2.5,0,65.3983,0.6728
1686038470232615286,1,5.79617e+10,0,0.0958114,0.66,0,74.3494,0.6725
1686038470247916555,0,5.79633e+10,132,0.00824853,0.05,0.06,77.3349,0.6724
1686038470265557788,1,6.11645e+10,0,0.0118644,0.25,0,77.3349,0.6724
1686038470265557788,1,5.97527e+10,50,0.0524915,0.5,0,77.3349,0.6724
1686038474403776383,0,1.0888e+10,721,0.018058,0.5,2.1,19.5386,0.66535
1686038484623136348,0,1.29803e+10,600,0.0002234,0.5,0.7,19.5386,0.66535
1686038529816530847,0,8.07007e+10,1,0.157399,3.35,0,9.01307,0.6657
1686038535476227298,0,1.07112e+11,0,0.000299528,0.005,0,9.01307,0.6657
1686038541961780406,0,1.39904e+11,0,0,1,0,9.01307,0.6657
1686038558409573374,1,8.80831e+10,0,0.00136211,3,0,9.01307,0.6657
1686038615427310887,1,5.93674e+10,400,0.000313103,6.54206,0,7.51033,0.66575
1686038655056543187,0,7.7593e+09,310,0.000640302,0.0757576,0,7.51033,0.66575
1686038672920168134,1,3.40651e+10,0,0.000784989,5.83333,0,7.51033,0.66575
1686038714733237690,0,5.33774e+10,30420,0,0.833333,3.1,137.232,0.6704
1686038715565957142,1,2.6068e+10,0,0.0065203,0.934579,0,141.738,0.67025
1686038723244908579,1,5.87074e+09,0,9.26825e-05,1,0,7.51033,0.66575
1686038726891122345,1,8.67074e+09,100,0.000330437,3.62,0,7.51033,0.66575
1686038741581228871,1,1.4687e+11,0,0.0191696,2.27273,0,7.51033,0.66575
1686038741581228871,1,1.42857e+11,300,0.00064485,0.0757576,0,9.01307,0.6657
1686038751354162758,0,1.74658e+10,4545,0,0.01,66.54,9.01307,0.6657
1686038775904981354,0,1.87335e+11,29850,5.44091e-05,0.6,1,143.241,0.6702
1686038860335144610,1,4.49729e+10,0,0.00593703,0.9,0,143.241,0.6702
1686038939855821236,0,4.17968e+11,0,0.000315607,0.025,0,9.01307,0.6657
1686038939856327641,0,5.28023e+11,150,0.000580742,0.005,0.51,9.01307,0.6657
1686038939860351523,0,3.80512e+11,5,6.40441e-05,0.00757576,0,90.4977,0.663
1686038964987386554,0,9.00496e+10,30800,0,5,2.5,7.51033,0.66575
1686038972613883046,1,1.1212e+10,0,0.00652158,1,0,7.51033,0.66575
1686038972613903128,1,7.14276e+09,100,0.000649791,0.1,0,7.51033,0.66575
1686038972613903128,1,5.14851e+09,110,0.000454599,0.07,0,15.0263,0.6655
1686038972619084274,1,5.14854e+06,0,0.00652158,1,0,15.0263,0.6655
1686038983506728276,1,7.4494e+10,0,6.90347e-05,1,0,141.738,0.67025
1686038993628959772,1,2.10098e+10,0,0.00652158,1,0,141.738,0.67025
1686039004800324753,0,6.02505e+11,0,0.141644,0.25,0,141.738,0.67025
1686039025205483180,0,4.54103e+10,540,0.0317977,5,0.55,141.738,0.67025
1686039037033300419,1,6.44106e+10,84,0.00648551,1,0,141.738,0.67025
1686039037033300419,1,4.34043e+10,44,0.00265231,0.42,0,149.254,0.67
1686039047356149350,1,5.82828e+09,0,9.98379e-05,1,0,149.254,0.67
1686039086082022878,0,2.20899e+10,50,0.0782936,12.5,0.43,149.254,0.67
1686039144657448659,0,1.79666e+11,31100,0,5,5.4,7.51597,0.66525
1686039153972987408,0,8.40206e+09,0,0.000329127,1,0,7.51597,0.66525
1686039154828700668,0,8.51857e+08,0,0.000329127,1,0,7.51597,0.66525
1686039157557818580,0,2.72441e+09,0,0.000329127,1,0,7.51597,0.66525
1686039159329533377,0,1.76785e+09,0,0.000329127,1,0,7.51597,0.66525
1686039159365251563,0,2.03826e+11,0,0.00319019,0.49,0,12.0283,0.6651
1686039197984254383,0,2.27182e+10,1,5.81944e-05,0.01,0,12.0283,0.6651
1686039197984769542,0,2.58114e+11,0,6.56379e-05,0.01,0,79.9578,0.66285
1686039256482918001,0,1.44421e+10,0,0.000300977,0.89,0,79.9578,0.66285
1686039282622838267,1,2.61389e+10,0,0.000302043,0.89,0,79.9578,0.66285
1686039313959829425,0,1.58676e+10,1000,0.00132001,4,0,79.9578,0.66285
1686039369565154308,1,3.15491e+10,0,0.000289048,0.05,0,22.5649,0.66475
1686039379697620068,0,2.93614e+11,356,0.0777846,12.5,0.5,22.5649,0.66475
1686039379935764255,0,2.58496e+10,1000,0.00104434,3,0,22.5649,0.66475
1686039395653689368,1,3.07427e+10,5,0.0392788,7,0,22.5649,0.66475
1686039422572313670,0,4.28735e+10,390,0.0733918,12.5,0.21,21.059,0.6648
1686039427357911415,1,4.95269e+09,0,0.00640097,1.09,0,21.059,0.6648
1686039575464181909,1,1.52891e+11,109,0.075116,12.5,0,21.059,0.6648
1686039575464181909,1,7.12445e+10,668,0.000290427,0.05,0,21.059,0.6648
1686039575464181909,1,1.56796e+10,673,0.00993238,1.72,0,22.5649,0.66475
1686039596340032115,0,1.11546e+11,1000,3.37419e-06,0.01,0,22.5649,0.66475
1686039602892830849,0,6.55123e+09,0,2.44369e-06,0.01,0,22.5649,0.66475
1686039673728056850,0,1.26328e+12,651,0.119973,1,5.86,21.059,0.6648
1686039744785972583,0,6.34992e+11,0,0.00334378,10,0,162.796,0.66955
1686039747716012890,0,8.31219e+10,0,0.000181575,0.03,0,164.302,0.6695
1686039776639405758,1,3.90764e+11,390,0.00284469,0.5,0,164.302,0.6695
1686039776639405758,1,3.52046e+11,1409,0.000288907,0.05,0.01,164.302,0.6695
1686039776639405758,1,6.21741e+08,55,0.0303282,5,0,164.302,0.6695
1686039811045560643,1,3.44061e+10,0,0.018377,3,0,164.302,0.6695
1686039811045560643,1,6.48352e+09,300,0.00121266,0.2,0,206.556,0.6681
1686039902243765242,0,4.18163e+11,34176,0,1.56,7,206.556,0.6681
1686040083725192001,0,3.02574e+11,31569,0,3,2.5,141.738,0.67025
1686040098626573049,1,1.2145e+11,0,0.00626662,1,0,162.796,0.66955
1686040131619701554,0,4.78899e+10,28950,0.000976767,3,0,141.738,0.67025
1686040151795901598,0,1.32444e+11,750,0.0517978,8.4,0.25,16.5153,0.66605
1686040161352385159,1,3.22447e+10,0,0.0474567,8.13,0,16.5153,0.66605
1686040167559388832,1,6.15908e+09,0,0.00141797,4,0,37.5742,0.66535
1686040179818964225,0,1.11373e+11,2670,0,0.55,0.55,13.543,0.66455
